Site,Species,Leaf number,Canopy or understory,Date,Curve routine,Step in curve,Outlier?,Observation,Time (not adjusted for NT),Time adjusted,Ftime,Photosynthesis (umol m-2 s-1),Conductance to H2O (mol m-2 s-1),Ci (umol mol-1),Leaf temp (C),PAR inside chamber (umol m-2 s-1)
Adelaide River,Corymbia latifolia,3,Canopy,6-Sep-08,A/Ci,11,,32,15:38:05,14:08:05,6363,25.2,0.0765,583,32.43,1999
Adelaide River,Corymbia latifolia,4,Canopy,6-Sep-08,A/Ci,1,Yes,22,14:12:53,13:42:53,5080,6.06,0.0766,248,34.04,2000
Adelaide River,Corymbia latifolia,4,Canopy,6-Sep-08,A/Ci,2,Yes,23,14:14:46,13:44:46,5194,3.23,0.0777,196,33.94,2000
Adelaide River,Corymbia latifolia,4,Canopy,6-Sep-08,A/Ci,3,,24,14:16:31,13:46:31,5299,2.88,0.0857,162,33.76,2001
Adelaide River,Corymbia latifolia,4,Canopy,6-Sep-08,A/Ci,4,,25,14:19:01,13:49:01,5448,1.64,0.132,121,33.26,1999
Adelaide River,Corymbia latifolia,4,Canopy,6-Sep-08,A/Ci,5,,26,14:21:08,13:51:08,5576,-0.825,0.17,74.8,32.97,2000
Adelaide River,Corymbia latifolia,4,Canopy,6-Sep-08,A/Ci,6,,27,14:22:45,13:52:45,5672,-2.18,0.188,59.1,32.81,2001
Adelaide River,Corymbia latifolia,4,Canopy,6-Sep-08,A/Ci,7,,28,14:25:15,13:55:15,5823,5.62,0.182,161,32.68,1999
Adelaide River,Corymbia latifolia,4,Canopy,6-Sep-08,A/Ci,8,,29,14:27:16,13:57:16,5944,11.1,0.152,243,32.79,1999
Adelaide River,Corymbia latifolia,4,Canopy,6-Sep-08,A/Ci,9,,30,14:29:17,13:59:17,6065,17.2,0.135,370,32.89,2000
Adelaide River,Corymbia latifolia,4,Canopy,6-Sep-08,A/Ci,10,,31,14:31:00,14:01:00,6167.5,21.8,0.126,603,32.87,2000
Adelaide River,Corymbia latifolia,4,Canopy,6-Sep-08,A/Ci,11,,32,14:32:55,14:02:55,6282.5,22.5,0.12,788,33.01,1999
Adelaide River,Corymbia latifolia,5,Canopy,6-Sep-08,A/Ci,1,,1,16:18:29,14:48:29,123.5,6.36,0.0584,185,33.05,1999
Adelaide River,Corymbia latifolia,5,Canopy,6-Sep-08,A/Ci,2,,2,16:21:07,14:51:07,281,4.39,0.0655,144,32.51,2000
Adelaide River,Corymbia latifolia,5,Canopy,6-Sep-08,A/Ci,3,,3,16:23:38,14:53:38,433,3.63,0.0763,132,32.02,2001
Adelaide River,Corymbia latifolia,5,Canopy,6-Sep-08,A/Ci,4,,4,16:26:09,14:56:09,584,2.21,0.102,103,31.98,1999
Adelaide River,Corymbia latifolia,5,Canopy,6-Sep-08,A/Ci,5,,5,16:28:39,14:58:39,734,-0.0697,0.126,68.1,31.95,2000
Adelaide River,Corymbia latifolia,5,Canopy,6-Sep-08,A/Ci,6,,6,16:31:14,15:01:14,888,-1.19,0.159,52.8,32.06,1999
Adelaide River,Corymbia latifolia,5,Canopy,6-Sep-08,A/Ci,7,,7,16:33:44,15:03:44,1038,6.87,0.183,149,32,2000
Adelaide River,Corymbia latifolia,5,Canopy,6-Sep-08,A/Ci,8,,8,16:35:45,15:05:45,1159,13.4,0.171,234,32.09,2001
Adelaide River,Corymbia latifolia,5,Canopy,6-Sep-08,A/Ci,9,,9,16:37:46,15:07:46,1280,19.5,0.154,375,32.13,1999
Adelaide River,Corymbia latifolia,5,Canopy,6-Sep-08,A/Ci,10,,10,16:39:07,15:09:07,1361,21.8,0.148,663,32.31,2000
Adelaide River,Corymbia latifolia,5,Canopy,6-Sep-08,A/Ci,11,,11,16:40:59,15:10:59,1473,21.1,0.136,859,32.47,2000
Adelaide River,Corymbia latifolia,6,Canopy,6-Sep-08,A/Ci,1,,43,15:15:57,14:45:57,8864,6.09,0.0743,231,33,2000
Adelaide River,Corymbia latifolia,6,Canopy,6-Sep-08,A/Ci,2,,44,15:18:27,14:48:27,9015,4.54,0.104,186,32.63,1999
Adelaide River,Corymbia latifolia,6,Canopy,6-Sep-08,A/Ci,3,,45,15:20:58,14:50:58,9166,4.07,0.144,165,32.31,1999
Adelaide River,Corymbia latifolia,6,Canopy,6-Sep-08,A/Ci,4,,46,15:23:29,14:53:29,9317,1.84,0.173,122,32.18,1998
Adelaide River,Corymbia latifolia,6,Canopy,6-Sep-08,A/Ci,5,,47,15:25:35,14:55:35,9443,-1.1,0.189,77.4,32.18,1999
Adelaide River,Corymbia latifolia,6,Canopy,6-Sep-08,A/Ci,6,,48,15:28:05,14:58:05,9593,-2.33,0.207,60.8,32.39,2000
Adelaide River,Corymbia latifolia,6,Canopy,6-Sep-08,A/Ci,7,,49,15:30:44,15:00:44,9752,4.53,0.182,173,32.69,1999
Adelaide River,Corymbia latifolia,6,Canopy,6-Sep-08,A/Ci,8,,50,15:33:15,15:03:15,9903,8.72,0.149,272,33.09,2001
Adelaide River,Corymbia latifolia,6,Canopy,6-Sep-08,A/Ci,9,,51,15:35:16,15:05:16,10024,11.8,0.13,442,33.38,2000
Adelaide River,Corymbia latifolia,6,Canopy,6-Sep-08,A/Ci,10,,52,15:37:17,15:07:17,10145,11.3,0.113,749,33.6,2000
Adelaide River,Corymbia latifolia,6,Canopy,6-Sep-08,A/Ci,11,,53,15:39:18,15:09:18,10266,10.7,0.0935,933,33.72,2000
Adelaide River,Eucalyptus tectifica,1,Canopy,5-Sep-08,A/Ci,1,,1,14:50:40,14:20:40,1413.5,11.3,0.12,216,33.81,2000
Adelaide River,Eucalyptus tectifica,1,Canopy,5-Sep-08,A/Ci,2,,2,14:52:21,14:22:21,1514.5,7.92,0.131,159,33.49,2000
Adelaide River,Eucalyptus tectifica,1,Canopy,5-Sep-08,A/Ci,3,,3,14:54:52,14:24:52,1664.5,6.44,0.171,152,33.53,1999
Adelaide River,Eucalyptus tectifica,1,Canopy,5-Sep-08,A/Ci,4,,4,14:57:23,14:27:23,1815.5,3.58,0.216,113,34.15,2000
Adelaide River,Eucalyptus tectifica,1,Canopy,5-Sep-08,A/Ci,5,,5,14:59:07,14:29:07,1920.5,-0.657,0.237,72.6,33.98,1999
Adelaide River,Eucalyptus tectifica,1,Canopy,5-Sep-08,A/Ci,6,,6,15:01:36,14:31:36,2069.5,-2.43,0.268,54.5,33.47,2001
Adelaide River,Eucalyptus tectifica,1,Canopy,5-Sep-08,A/Ci,7,,7,15:03:37,14:33:37,2190.5,9.24,0.301,157,33.05,2001
Adelaide River,Eucalyptus tectifica,1,Canopy,5-Sep-08,A/Ci,8,,8,15:05:38,14:35:38,2311.5,21.4,0.307,236,32.71,2000
Adelaide River,Eucalyptus tectifica,1,Canopy,5-Sep-08,A/Ci,9,,9,15:07:39,14:37:39,2432.5,27.5,0.291,411,32.58,2001
Adelaide River,Eucalyptus tectifica,1,Canopy,5-Sep-08,A/Ci,10,,10,15:09:40,14:39:40,2553.5,29.1,0.258,696,32.47,2000
Adelaide River,Eucalyptus tectifica,1,Canopy,5-Sep-08,A/Ci,11,,11,15:11:41,14:41:41,2674.5,27.3,0.238,904,32.34,1999
Adelaide River,Eucalyptus tectifica,2,Canopy,5-Sep-08,A/Ci,1,,1,15:55:11,14:25:11,1498,15.7,0.16,199,33.37,2001
Adelaide River,Eucalyptus tectifica,2,Canopy,5-Sep-08,A/Ci,2,,2,15:56:56,14:26:56,1604,9.93,0.17,158,33.13,2001
Adelaide River,Eucalyptus tectifica,2,Canopy,5-Sep-08,A/Ci,3,,3,15:58:32,14:28:32,1700,8.03,0.18,136,33,2000
Adelaide River,Eucalyptus tectifica,2,Canopy,5-Sep-08,A/Ci,4,,4,16:01:03,14:31:03,1851,4.6,0.211,101,33.08,2000
Adelaide River,Eucalyptus tectifica,2,Canopy,5-Sep-08,A/Ci,5,,5,16:03:02,14:33:02,1969,0.316,0.232,64.8,32.9,2000
Adelaide River,Eucalyptus tectifica,2,Canopy,5-Sep-08,A/Ci,6,,6,16:05:20,14:35:20,2108,-1.61,0.249,50.8,32.7,2001
Adelaide River,Eucalyptus tectifica,2,Canopy,5-Sep-08,A/Ci,7,,7,16:07:51,14:37:51,2259,10.8,0.276,144,32.41,2000
Adelaide River,Eucalyptus tectifica,2,Canopy,5-Sep-08,A/Ci,8,,8,16:09:18,14:39:18,2345.5,21.4,0.286,226,32.23,1999
Adelaide River,Eucalyptus tectifica,2,Canopy,5-Sep-08,A/Ci,9,,9,16:10:54,14:40:54,2441.5,33.8,0.299,373,32.11,2001
Adelaide River,Eucalyptus tectifica,2,Canopy,5-Sep-08,A/Ci,10,,10,16:12:54,14:42:54,2562.5,38.4,0.28,648,31.98,1999
Adelaide River,Eucalyptus tectifica,2,Canopy,5-Sep-08,A/Ci,11,,11,16:14:55,14:44:55,2683.5,36.9,0.261,848,32.03,2000
Adelaide River,Eucalyptus tectifica,3,Canopy,5-Sep-08,A/Ci,1,,22,17:02:51,15:32:51,5559,19,0.217,216,32.71,2002
Adelaide River,Eucalyptus tectifica,3,Canopy,5-Sep-08,A/Ci,2,,23,17:04:53,15:34:53,5680,12.3,0.223,156,32.34,2001
Adelaide River,Eucalyptus tectifica,3,Canopy,5-Sep-08,A/Ci,3,,24,17:07:01,15:37:01,5809,9.72,0.252,142,31.97,1999
Adelaide River,Eucalyptus tectifica,3,Canopy,5-Sep-08,A/Ci,4,,25,17:09:36,15:39:36,5964,5.78,0.332,106,31.94,1999
Adelaide River,Eucalyptus tectifica,3,Canopy,5-Sep-08,A/Ci,5,,26,17:12:11,15:42:11,6119,0.556,0.414,65.2,31.93,1999
Adelaide River,Eucalyptus tectifica,3,Canopy,5-Sep-08,A/Ci,6,,27,17:14:42,15:44:42,6270,-1.74,0.462,47,31.99,1998
Adelaide River,Eucalyptus tectifica,3,Canopy,5-Sep-08,A/Ci,7,,28,17:17:13,15:47:13,6421,12.4,0.493,165,32.02,1999
Adelaide River,Eucalyptus tectifica,3,Canopy,5-Sep-08,A/Ci,8,,29,17:19:14,15:49:14,6542,21.2,0.381,256,32.24,2000
Adelaide River,Eucalyptus tectifica,3,Canopy,5-Sep-08,A/Ci,9,,30,17:21:15,15:51:15,6663,26.6,0.248,377,32.35,2001
Adelaide River,Eucalyptus tectifica,3,Canopy,5-Sep-08,A/Ci,10,,31,17:23:16,15:53:16,6784,29.5,0.198,615,32.39,2001
Adelaide River,Eucalyptus tectifica,3,Canopy,5-Sep-08,A/Ci,11,,32,17:25:17,15:55:17,6905,28.6,0.17,818,32.15,2000
Adelaide River,Eucalyptus tectifica,4,Canopy,5-Sep-08,A/Ci,1,,22,16:00:10,15:30:10,5583.5,12.3,0.152,227,33.68,2000
Adelaide River,Eucalyptus tectifica,4,Canopy,5-Sep-08,A/Ci,2,,23,16:02:10,15:32:10,5703.5,7.96,0.16,171,33.4,1999
Adelaide River,Eucalyptus tectifica,4,Canopy,5-Sep-08,A/Ci,3,,24,16:04:41,15:34:41,5854.5,6.99,0.199,152,33.16,2001
Adelaide River,Eucalyptus tectifica,4,Canopy,5-Sep-08,A/Ci,4,,25,16:07:12,15:37:12,6005.5,3.83,0.264,114,33.21,2000
Adelaide River,Eucalyptus tectifica,4,Canopy,5-Sep-08,A/Ci,5,,26,16:09:50,15:39:50,6163.5,-0.265,0.318,69.1,33.13,2000
Adelaide River,Eucalyptus tectifica,4,Canopy,5-Sep-08,A/Ci,6,,27,16:12:21,15:42:21,6314.5,-2.1,0.374,49.1,33.09,2000
Adelaide River,Eucalyptus tectifica,4,Canopy,5-Sep-08,A/Ci,7,,28,16:14:19,15:44:19,6432.5,9.19,0.382,170,33.08,2000
Adelaide River,Eucalyptus tectifica,4,Canopy,5-Sep-08,A/Ci,8,,29,16:16:20,15:46:20,6553,16.1,0.293,263,33.28,2000
Adelaide River,Eucalyptus tectifica,4,Canopy,5-Sep-08,A/Ci,9,,30,16:18:21,15:48:21,6674,19.4,0.183,389,33.48,1999
Adelaide River,Eucalyptus tectifica,4,Canopy,5-Sep-08,A/Ci,10,,31,16:20:22,15:50:22,6795,21.3,0.144,643,33.42,2002
Adelaide River,Eucalyptus tectifica,4,Canopy,5-Sep-08,A/Ci,11,,32,16:22:23,15:52:23,6916,20.3,0.13,837,33.26,1999
Adelaide River,Eucalyptus tectifica,5,Canopy,5-Sep-08,A/Ci,1,,43,18:01:03,16:31:03,9051,15.9,0.166,198,32.34,2000
Adelaide River,Eucalyptus tectifica,5,Canopy,5-Sep-08,A/Ci,2,,44,18:03:04,16:33:04,9172,11.9,0.199,150,31.94,1999
Adelaide River,Eucalyptus tectifica,5,Canopy,5-Sep-08,A/Ci,3,,45,18:05:35,16:35:35,9323,9.95,0.249,141,31.99,1999
Adelaide River,Eucalyptus tectifica,5,Canopy,5-Sep-08,A/Ci,4,,46,18:08:06,16:38:06,9474,5.71,0.304,105,31.9,1999
Adelaide River,Eucalyptus tectifica,5,Canopy,5-Sep-08,A/Ci,5,,47,18:10:37,16:40:37,9625,0.418,0.356,64.3,31.87,1999
Adelaide River,Eucalyptus tectifica,5,Canopy,5-Sep-08,A/Ci,6,,48,18:13:08,16:43:08,9776,-1.57,0.405,45.9,31.92,2001
Adelaide River,Eucalyptus tectifica,5,Canopy,5-Sep-08,A/Ci,7,,49,18:15:38,16:45:38,9926,13,0.441,158,31.92,2001
Adelaide River,Eucalyptus tectifica,5,Canopy,5-Sep-08,A/Ci,8,,50,18:17:40,16:47:40,10047,23.6,0.398,257,32.09,1999
Adelaide River,Eucalyptus tectifica,5,Canopy,5-Sep-08,A/Ci,9,,51,18:19:41,16:49:41,10168.5,29.7,0.307,413,32.07,2001
Adelaide River,Eucalyptus tectifica,5,Canopy,5-Sep-08,A/Ci,10,,52,18:21:42,16:51:42,10289.5,29.1,0.273,719,31.95,2000
Adelaide River,Eucalyptus tectifica,5,Canopy,5-Sep-08,A/Ci,11,,53,18:23:38,16:53:38,10405,27.5,0.259,931,31.97,1999
Adelaide River,Eucalyptus tectifica,6,Canopy,5-Sep-08,A/Ci,1,,43,16:58:04,16:28:04,9056.5,12.1,0.143,216,32.63,2000
Adelaide River,Eucalyptus tectifica,6,Canopy,5-Sep-08,A/Ci,2,,44,17:00:38,16:30:38,9211.5,9.09,0.178,165,32.31,1999
Adelaide River,Eucalyptus tectifica,6,Canopy,5-Sep-08,A/Ci,3,,45,17:02:47,16:32:47,9340.5,7.67,0.204,145,31.95,1999
Adelaide River,Eucalyptus tectifica,6,Canopy,5-Sep-08,A/Ci,4,,46,17:05:23,16:35:23,9495.5,4.21,0.242,107,31.97,2000
Adelaide River,Eucalyptus tectifica,6,Canopy,5-Sep-08,A/Ci,5,,47,17:07:53,16:37:53,9646.5,-0.037,0.287,67.6,31.91,2000
Adelaide River,Eucalyptus tectifica,6,Canopy,5-Sep-08,A/Ci,6,,48,17:10:24,16:40:24,9796.5,-2.03,0.322,50.4,31.91,2000
Adelaide River,Eucalyptus tectifica,6,Canopy,5-Sep-08,A/Ci,7,,49,17:12:21,16:42:21,9914.5,10.5,0.348,158,31.93,2001
Adelaide River,Eucalyptus tectifica,6,Canopy,5-Sep-08,A/Ci,8,,50,17:13:40,16:43:40,9993,19.8,0.358,266,31.92,2000
Adelaide River,Eucalyptus tectifica,6,Canopy,5-Sep-08,A/Ci,9,,51,17:15:40,16:45:40,10114,24.7,0.317,449,32.08,2000
Adelaide River,Eucalyptus tectifica,6,Canopy,5-Sep-08,A/Ci,10,,52,17:17:42,16:47:42,10235,24.8,0.247,732,32.07,1999
Adelaide River,Eucalyptus tectifica,6,Canopy,5-Sep-08,A/Ci,11,,53,17:19:34,16:49:34,10347,24,0.224,929,31.98,1999
