aligned_name,taxon_name,taxon_rank,taxonomic_status,taxonomic_dataset,taxon_name_alternatives,genus,family,binomial,trinomial,taxon_distribution,establishment_means,scientific_name,taxon_id,taxon_id_genus,taxon_id_family,scientific_name_id,aligned_name_taxon_id,aligned_name_taxonomic_status
Atractocarpus hirtus,Atractocarpus hirtus,species,accepted,APC,NA,Atractocarpus,Rubiaceae,Atractocarpus hirtus,NA,Qld,native,Atractocarpus hirtus (F.Muell.) Puttock,https://id.biodiversity.org.au/node/apni/2910460,https://id.biodiversity.org.au/taxon/apni/51446611,https://id.biodiversity.org.au/taxon/apni/51446612,https://id.biodiversity.org.au/name/apni/146883,https://id.biodiversity.org.au/node/apni/2910460,accepted
Randia hirta,Atractocarpus hirtus,species,accepted,APC,NA,Atractocarpus,Rubiaceae,Atractocarpus hirtus,NA,Qld,native,Atractocarpus hirtus (F.Muell.) Puttock,https://id.biodiversity.org.au/node/apni/2910460,https://id.biodiversity.org.au/taxon/apni/51446611,https://id.biodiversity.org.au/taxon/apni/51446612,https://id.biodiversity.org.au/name/apni/146883,https://id.biodiversity.org.au/instance/apni/818781,nomenclatural synonym
Austromuellera trinervia,Austromuellera trinervia,species,accepted,APC,NA,Austromuellera,Proteaceae,Austromuellera trinervia,NA,Qld,native,Austromuellera trinervia C.T.White,https://id.biodiversity.org.au/node/apni/2907647,https://id.biodiversity.org.au/node/apni/2897354,https://id.biodiversity.org.au/taxon/apni/51732901,https://id.biodiversity.org.au/name/apni/114407,https://id.biodiversity.org.au/node/apni/2907647,accepted
Austrosteenisia blackii,Austrosteenisia blackii,species,accepted,APC,NA,Austrosteenisia,Fabaceae,Austrosteenisia blackii,NA,"Qld, NSW",native,Austrosteenisia blackii (F.Muell.) Geesink,https://id.biodiversity.org.au/node/apni/2886332,https://id.biodiversity.org.au/node/apni/2909096,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/114654,https://id.biodiversity.org.au/node/apni/2886332,accepted
Kunstleria blackii,Austrosteenisia blackii,species,accepted,APC,NA,Austrosteenisia,Fabaceae,Austrosteenisia blackii,NA,"Qld, NSW",native,Austrosteenisia blackii (F.Muell.) Geesink,https://id.biodiversity.org.au/node/apni/2886332,https://id.biodiversity.org.au/node/apni/2909096,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/114654,https://id.biodiversity.org.au/instance/apni/932530,nomenclatural synonym
Bowenia spectabilis,Bowenia spectabilis,species,accepted,APC,NA,Bowenia,Zamiaceae,Bowenia spectabilis,NA,Qld,native,Bowenia spectabilis Hook. ex Hook.f.,https://id.biodiversity.org.au/node/apni/2912787,https://id.biodiversity.org.au/node/apni/2908062,https://id.biodiversity.org.au/taxon/apni/51448844,https://id.biodiversity.org.au/name/apni/63468,https://id.biodiversity.org.au/node/apni/2912787,accepted
Brombya platynema,Brombya platynema,species,accepted,APC,NA,Brombya,Rutaceae,Brombya platynema,NA,Qld,native,Brombya platynema F.Muell.,https://id.biodiversity.org.au/node/apni/2890280,https://id.biodiversity.org.au/node/apni/7937668,https://id.biodiversity.org.au/taxon/apni/51461748,https://id.biodiversity.org.au/name/apni/67607,https://id.biodiversity.org.au/node/apni/2890280,accepted
Calamus australis,Calamus australis,species,accepted,APC,NA,Calamus,Arecaceae,Calamus australis,NA,Qld,native,Calamus australis Mart.,https://id.biodiversity.org.au/node/apni/2913758,https://id.biodiversity.org.au/taxon/apni/51737513,https://id.biodiversity.org.au/taxon/apni/51737497,https://id.biodiversity.org.au/name/apni/93240,https://id.biodiversity.org.au/node/apni/2913758,accepted
Calamus radicalis,Calamus radicalis,species,accepted,APC,NA,Calamus,Arecaceae,Calamus radicalis,NA,Qld,native,Calamus radicalis H.Wendl. & Drude,https://id.biodiversity.org.au/node/apni/2898186,https://id.biodiversity.org.au/taxon/apni/51737513,https://id.biodiversity.org.au/taxon/apni/51737497,https://id.biodiversity.org.au/name/apni/93339,https://id.biodiversity.org.au/node/apni/2898186,accepted
Carallia brachiata,Carallia brachiata,species,accepted,APC,NA,Carallia,Rhizophoraceae,Carallia brachiata,NA,"WA, NT, Qld",native,Carallia brachiata (Lour.) Merr.,https://id.biodiversity.org.au/taxon/apni/51446252,https://id.biodiversity.org.au/taxon/apni/51446253,https://id.biodiversity.org.au/taxon/apni/51446244,https://id.biodiversity.org.au/name/apni/108280,https://id.biodiversity.org.au/taxon/apni/51446252,accepted
Cardwellia sublimis,Cardwellia sublimis,species,accepted,APC,NA,Cardwellia,Proteaceae,Cardwellia sublimis,NA,Qld,native,Cardwellia sublimis F.Muell.,https://id.biodiversity.org.au/node/apni/2899253,https://id.biodiversity.org.au/node/apni/2908094,https://id.biodiversity.org.au/taxon/apni/51732901,https://id.biodiversity.org.au/name/apni/109268,https://id.biodiversity.org.au/node/apni/2899253,accepted
Carronia protensa,Carronia protensa,species,accepted,APC,NA,Carronia,Menispermaceae,Carronia protensa,NA,Qld,native,Carronia protensa (F.Muell.) Diels,https://id.biodiversity.org.au/node/apni/2915432,https://id.biodiversity.org.au/node/apni/2886548,https://id.biodiversity.org.au/taxon/apni/51439414,https://id.biodiversity.org.au/name/apni/113020,https://id.biodiversity.org.au/node/apni/2915432,accepted
Castanospermum australe,Castanospermum australe,species,accepted,APC,NA,Castanospermum,Fabaceae,Castanospermum australe,NA,"Qld, NSW, NI (doubtfully naturalised)",native and naturalised,Castanospermum australe A.Cunn. ex Mudie,https://id.biodiversity.org.au/node/apni/2894943,https://id.biodiversity.org.au/node/apni/7226268,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/196675,https://id.biodiversity.org.au/node/apni/2894943,accepted
Cayratia saponaria,Cayratia saponaria,species,accepted,APC,NA,Cayratia,Vitaceae,Cayratia saponaria,NA,Qld,native,Cayratia saponaria (Seem. ex Benth.) Domin,https://id.biodiversity.org.au/node/apni/2902034,https://id.biodiversity.org.au/taxon/apni/51448798,https://id.biodiversity.org.au/taxon/apni/51448758,https://id.biodiversity.org.au/name/apni/57518,https://id.biodiversity.org.au/node/apni/2902034,accepted
Celtis paniculata,Celtis paniculata,species,accepted,APC,NA,Celtis,Cannabaceae,Celtis paniculata,NA,"NT, Qld, NSW, LHI, NI",native,Celtis paniculata (Endl.) Planch.,https://id.biodiversity.org.au/node/apni/2887833,https://id.biodiversity.org.au/taxon/apni/51269920,https://id.biodiversity.org.au/taxon/apni/51269919,https://id.biodiversity.org.au/name/apni/58042,https://id.biodiversity.org.au/node/apni/2887833,accepted
Cerbera floribunda,Cerbera floribunda,species,accepted,APC,NA,Cerbera,Apocynaceae,Cerbera floribunda,NA,Qld,native,Cerbera floribunda K.Schum.,https://id.biodiversity.org.au/node/apni/2897729,https://id.biodiversity.org.au/taxon/apni/51431022,https://id.biodiversity.org.au/taxon/apni/51736528,https://id.biodiversity.org.au/name/apni/60192,https://id.biodiversity.org.au/node/apni/2897729,accepted
Chionanthus ramiflora,Chionanthus ramiflorus,species,accepted,APC,NA,Chionanthus,Oleaceae,Chionanthus ramiflorus,NA,Qld,native,Chionanthus ramiflorus Roxb.,https://id.biodiversity.org.au/taxon/apni/51440850,https://id.biodiversity.org.au/taxon/apni/51440839,https://id.biodiversity.org.au/taxon/apni/51440840,https://id.biodiversity.org.au/name/apni/64974,https://id.biodiversity.org.au/instance/apni/51440842,orthographic variant
Chionanthus ramiflorus,Chionanthus ramiflorus,species,accepted,APC,NA,Chionanthus,Oleaceae,Chionanthus ramiflorus,NA,Qld,native,Chionanthus ramiflorus Roxb.,https://id.biodiversity.org.au/taxon/apni/51440850,https://id.biodiversity.org.au/taxon/apni/51440839,https://id.biodiversity.org.au/taxon/apni/51440840,https://id.biodiversity.org.au/name/apni/64974,https://id.biodiversity.org.au/taxon/apni/51440850,accepted
Cleistanthus myrianthus,Cleistanthus myrianthus,species,accepted,APC,NA,Cleistanthus,Phyllanthaceae,Cleistanthus myrianthus,NA,Qld,native,Cleistanthus myrianthus (Hassk.) Kurz,https://id.biodiversity.org.au/node/apni/2897700,https://id.biodiversity.org.au/node/apni/2914326,https://id.biodiversity.org.au/taxon/apni/51442162,https://id.biodiversity.org.au/name/apni/71354,https://id.biodiversity.org.au/node/apni/2897700,accepted
Cryptocarya grandis,Cryptocarya grandis,species,accepted,APC,NA,Cryptocarya,Lauraceae,Cryptocarya grandis,NA,Qld,native,Cryptocarya grandis B.Hyland,https://id.biodiversity.org.au/node/apni/2894176,https://id.biodiversity.org.au/taxon/apni/51438401,https://id.biodiversity.org.au/taxon/apni/51438397,https://id.biodiversity.org.au/name/apni/88368,https://id.biodiversity.org.au/node/apni/2894176,accepted
Cryptocarya hypospodia,Cryptocarya hypospodia,species,accepted,APC,NA,Cryptocarya,Lauraceae,Cryptocarya hypospodia,NA,"NT, Qld",native,Cryptocarya hypospodia F.Muell.,https://id.biodiversity.org.au/node/apni/2888165,https://id.biodiversity.org.au/taxon/apni/51438401,https://id.biodiversity.org.au/taxon/apni/51438397,https://id.biodiversity.org.au/name/apni/88390,https://id.biodiversity.org.au/node/apni/2888165,accepted
Cryptocarya mackinnoniana,Cryptocarya mackinnoniana,species,accepted,APC,NA,Cryptocarya,Lauraceae,Cryptocarya mackinnoniana,NA,Qld,native,Cryptocarya mackinnoniana F.Muell.,https://id.biodiversity.org.au/node/apni/2914946,https://id.biodiversity.org.au/taxon/apni/51438401,https://id.biodiversity.org.au/taxon/apni/51438397,https://id.biodiversity.org.au/name/apni/88421,https://id.biodiversity.org.au/node/apni/2914946,accepted
Cryptocarya murrayi,Cryptocarya murrayi,species,accepted,APC,NA,Cryptocarya,Lauraceae,Cryptocarya murrayi,NA,Qld,native,Cryptocarya murrayi F.Muell.,https://id.biodiversity.org.au/node/apni/2910393,https://id.biodiversity.org.au/taxon/apni/51438401,https://id.biodiversity.org.au/taxon/apni/51438397,https://id.biodiversity.org.au/name/apni/88472,https://id.biodiversity.org.au/node/apni/2910393,accepted
Darlingia darlingiana,Darlingia darlingiana,species,accepted,APC,NA,Darlingia,Proteaceae,Darlingia darlingiana,NA,Qld,native,Darlingia darlingiana (F.Muell.) L.A.S.Johnson,https://id.biodiversity.org.au/node/apni/2898545,https://id.biodiversity.org.au/node/apni/2898782,https://id.biodiversity.org.au/taxon/apni/51732901,https://id.biodiversity.org.au/name/apni/79999,https://id.biodiversity.org.au/node/apni/2898545,accepted
Daviesia abnormis,Daviesia abnormis,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia abnormis,NA,WA,native,Daviesia abnormis F.Muell.,https://id.biodiversity.org.au/node/apni/2899059,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82084,https://id.biodiversity.org.au/node/apni/2899059,accepted
Daviesia acicularis,Daviesia acicularis,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia acicularis,NA,"Qld, NSW, ACT",native,Daviesia acicularis Sm.,https://id.biodiversity.org.au/node/apni/2907637,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82115,https://id.biodiversity.org.au/node/apni/2907637,accepted
Daviesia alata,Daviesia alata,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia alata,NA,NSW,native,Daviesia alata Sm.,https://id.biodiversity.org.au/node/apni/8504323,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82134,https://id.biodiversity.org.au/node/apni/8504323,accepted
Daviesia alternifolia,Daviesia alternifolia,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia alternifolia,NA,WA,native,Daviesia alternifolia Endl.,https://id.biodiversity.org.au/node/apni/2899306,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82147,https://id.biodiversity.org.au/node/apni/2899306,accepted
Daviesia anceps,Daviesia anceps,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia anceps,NA,WA,native,Daviesia anceps Turcz.,https://id.biodiversity.org.au/node/apni/2896844,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82157,https://id.biodiversity.org.au/node/apni/2896844,accepted
Daviesia angulata,Daviesia angulata,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia angulata,NA,WA,native,Daviesia angulata Benth. ex Lindl.,https://id.biodiversity.org.au/node/apni/2888613,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82167,https://id.biodiversity.org.au/node/apni/2888613,accepted
Daviesia aphylla,Daviesia aphylla,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia aphylla,NA,"WA, SA",native,Daviesia aphylla F.Muell. ex Benth.,https://id.biodiversity.org.au/taxon/apni/51435874,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82179,https://id.biodiversity.org.au/taxon/apni/51435874,accepted
Daviesia benthamii subsp. acanthoclona,Daviesia aphylla,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia aphylla,NA,"WA, SA",native,Daviesia aphylla F.Muell. ex Benth.,https://id.biodiversity.org.au/taxon/apni/51435874,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82179,https://id.biodiversity.org.au/instance/apni/51435858,taxonomic synonym
Daviesia sp. Kanandah (R.Davis 10604),Daviesia aphylla,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia aphylla,NA,"WA, SA",native,Daviesia aphylla F.Muell. ex Benth.,https://id.biodiversity.org.au/taxon/apni/51435874,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82179,https://id.biodiversity.org.au/instance/apni/51435871,taxonomic synonym
Daviesia apiculata,Daviesia apiculata,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia apiculata,NA,WA,native,Daviesia apiculata Crisp,https://id.biodiversity.org.au/node/apni/2886835,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/123339,https://id.biodiversity.org.au/node/apni/2886835,accepted
Daviesia arborea,Daviesia arborea,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia arborea,NA,"Qld, NSW",native,Daviesia arborea W.Hill,https://id.biodiversity.org.au/node/apni/2912759,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82197,https://id.biodiversity.org.au/node/apni/2912759,accepted
Daviesia arenaria,Daviesia arenaria,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia arenaria,NA,"SA, NSW, Vic",native,Daviesia arenaria Crisp,https://id.biodiversity.org.au/taxon/apni/51435880,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82236,https://id.biodiversity.org.au/taxon/apni/51435880,accepted
Daviesia argillacea,Daviesia argillacea,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia argillacea,NA,WA,native,Daviesia argillacea Crisp,https://id.biodiversity.org.au/node/apni/2914952,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/123337,https://id.biodiversity.org.au/node/apni/2914952,accepted
Daviesia arthropoda,Daviesia arthropoda,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia arthropoda,NA,"WA, NT, SA, Qld",native,Daviesia arthropoda F.Muell.,https://id.biodiversity.org.au/node/apni/2911068,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82254,https://id.biodiversity.org.au/node/apni/2911068,accepted
Daviesia articulata,Daviesia articulata,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia articulata,NA,WA,native,Daviesia articulata Crisp,https://id.biodiversity.org.au/node/apni/2913942,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/121679,https://id.biodiversity.org.au/node/apni/2913942,accepted
Daviesia asperula,Daviesia asperula,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia asperula,NA,SA,native,Daviesia asperula Crisp,https://id.biodiversity.org.au/node/apni/2920566,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82260,https://id.biodiversity.org.au/node/apni/2920566,accepted
Daviesia audax,Daviesia audax,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia audax,NA,WA,native,Daviesia audax Crisp,https://id.biodiversity.org.au/node/apni/2905288,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/138373,https://id.biodiversity.org.au/node/apni/2905288,accepted
Daviesia benthamii,Daviesia benthamii,species,accepted,APC,Daviesia aphylla (pro parte misapplied),Daviesia,Fabaceae,Daviesia benthamii,NA,WA,native,Daviesia benthamii Meisn.,https://id.biodiversity.org.au/taxon/apni/51449951,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82275,NA,NA
Daviesia benthamii subsp. benthamii,Daviesia benthamii,species,accepted,APC,Daviesia aphylla (pro parte misapplied),Daviesia,Fabaceae,Daviesia benthamii,NA,WA,native,Daviesia benthamii Meisn.,https://id.biodiversity.org.au/taxon/apni/51449951,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82275,NA,NA
Daviesia brachyphylla,Daviesia brachyphylla,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia brachyphylla,NA,WA,native,Daviesia brachyphylla Meisn.,https://id.biodiversity.org.au/node/apni/2911922,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82295,https://id.biodiversity.org.au/node/apni/2911922,accepted
Daviesia brevifolia,Daviesia brevifolia,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia brevifolia,NA,"SA, Vic",native,Daviesia brevifolia Lindl.,https://id.biodiversity.org.au/node/apni/2915860,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82314,https://id.biodiversity.org.au/node/apni/2915860,accepted
Daviesia bursarioides,Daviesia bursarioides,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia bursarioides,NA,WA,native,Daviesia bursarioides Crisp,https://id.biodiversity.org.au/node/apni/2886149,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/122068,https://id.biodiversity.org.au/node/apni/2886149,accepted
Daviesia buxifolia,Daviesia buxifolia,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia buxifolia,NA,"NSW, Vic",native,Daviesia buxifolia Benth.,https://id.biodiversity.org.au/taxon/apni/51435882,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82356,https://id.biodiversity.org.au/taxon/apni/51435882,accepted
Daviesia campephylla,Daviesia campephylla,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia campephylla,NA,WA,native,Daviesia campephylla Crisp,https://id.biodiversity.org.au/node/apni/2894571,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/121680,https://id.biodiversity.org.au/node/apni/2894571,accepted
Daviesia cardiophylla,Daviesia cardiophylla,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia cardiophylla,NA,WA,native,Daviesia cardiophylla F.Muell.,https://id.biodiversity.org.au/node/apni/2890121,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82383,https://id.biodiversity.org.au/node/apni/2890121,accepted
Daviesia chapmanii,Daviesia chapmanii,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia chapmanii,NA,WA,native,Daviesia chapmanii Crisp,https://id.biodiversity.org.au/node/apni/2893099,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/139376,https://id.biodiversity.org.au/node/apni/2893099,accepted
Daviesia cordata,Daviesia cordata,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia cordata,NA,WA,native,Daviesia cordata Sm.,https://id.biodiversity.org.au/node/apni/8504994,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82430,https://id.biodiversity.org.au/node/apni/8504994,accepted
Daviesia corymbosa,Daviesia corymbosa,species,accepted,APC,Daviesia leptophylla (pro parte misapplied) | Daviesia leptophylla (misapplied),Daviesia,Fabaceae,Daviesia corymbosa,NA,NSW,native,Daviesia corymbosa Sm.,https://id.biodiversity.org.au/node/apni/2897934,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82438,NA,NA
Daviesia costata,Daviesia costata,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia costata,NA,WA,native,Daviesia costata Cheel,https://id.biodiversity.org.au/node/apni/2890855,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82496,https://id.biodiversity.org.au/node/apni/2890855,accepted
Daviesia crassa,Daviesia crassa,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia crassa,NA,WA,native,Daviesia crassa Crisp,https://id.biodiversity.org.au/node/apni/2913578,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/154775,https://id.biodiversity.org.au/node/apni/2913578,accepted
Daviesia crenulata,Daviesia crenulata,species,accepted,APC,NA,Daviesia,Fabaceae,Daviesia crenulata,NA,WA,native,Daviesia crenulata Turcz.,https://id.biodiversity.org.au/node/apni/2909723,https://id.biodiversity.org.au/taxon/apni/51461520,https://id.biodiversity.org.au/taxon/apni/51702961,https://id.biodiversity.org.au/name/apni/82504,https://id.biodiversity.org.au/node/apni/2909723,accepted
