species_name,Block!,Column!,Row!,Mother,Elevation,Treatment,Replicate!,Abbrev!,T_LL,T_DL,T_LC,Photo,Cond,Photo_D,Cond_D,area_mm2,SLA_cm_g:4,%N:1,date,date2
Aciphylla glacialis,1,3,b,6,LoElev,LoWat,5,ag6LoElev5,10,2,12,16.90171007,0.446862702,14.87408412,0.345619579,731.5,65.6054,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,3,e,6,LoElev,HiWat,6,ag6LoElev6,9,6,15,12.3620586,0.205025833,12.79274684,0.517167286,NA,NA,1,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,10,g,6,LoElev,LoWat,8,ag6LoElev8,6,2,8,1.399334088,0.028354037,4.875050081,0.134498083,NA,NA,0.7,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,7,f,6,LoElev,LoWat,9,ag6LoElev9,7,7,14,5.290542296,0.07238961,5.468240261,0.085703494,608.9,68.2623,1.2,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,14,c,6,LoElev,HiWat,10,ag6LoElev10,NA,NA,NA,7.136128746,0.138164132,6.828924444,0.118729044,448.9,60.9091,1.3,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,6,f,6,LoElev,LoWat,11,ag6LoElev11,7,1,8,3.749774803,0.045322231,3.317036983,0.026500055,NA,NA,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,8,h,6,LoElev,HiWat,12,ag6LoElev12,11,2,13,13.13864096,0.382118162,15.53888793,0.842726483,656.5,62.5238,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,11,f,6,LoElev,HiWat,x1,ag6LoElevx1,8,2,10,3.19722141,0.031721966,3.620997798,0.04583981,NA,NA,NA,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,11,g,8,HiElev,LoWat,2,ag8HiElev2,7,3,10,6.677025354,0.093335412,8.114797716,0.144530868,219,73.4899,2.2,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,9,d,8,HiElev,LoWat,4,ag8HiElev4,8,3,11,7.81204614,0.312633939,8.796333301,0.041705757,371,72.6027,1.4,26-Nov-11,16-Dec-11
Aciphylla glacialis,2,12,b,8,HiElev,HiWat,5,ag8HiElev5,7,4,11,6.35261272,0.143078869,6.314961967,0.156240253,675.6,60.4834,3,26-Nov-11,16-Dec-11
Aciphylla glacialis,1,13,g,8,HiElev,HiWat,6,ag8HiElev6,7,6,13,9.249338008,0.211051362,6.924395927,0.16703053,1130.9,57.2028,7.5,26-Nov-11,16-Dec-11
Aciphylla glacialis,3,8,h,9,HiElev,HiWat,4,ag9HiElev4,9,0,9,3.779913047,0.050122486,3.865856289,0.066441267,NA,NA,2.3,26-Nov-11,16-Dec-11
